complexity,loss,equation,score,sympy_format,lambda_format
20,20705.525559890862,"cube(log((x1 - -684.4559933117611) * sqrt(x0)) - -5.2952050257808265) + (max(x0, min(786.2850520629904, x2 + -371.2798981233918)) + -1522.3480871818876)",0.022853893139209516,"(log(sqrt(x0)*(x1 + 684.4559933117611)) + 5.2952050257808265)**3 + Piecewise((Piecewise((786.2850520629904, x2 - 371.2798981233918 > 786.2850520629904), (x2 - 371.2798981233918, True)), ITE(x2 - 371.2798981233918 > 786.2850520629904, x0 < 786.2850520629904, x0 < x2 - 371.2798981233918)), (x0, True)) - 1522.3480871818876","PySRFunction(X=>(log(sqrt(x0)*(x1 + 684.4559933117611)) + 5.2952050257808265)**3 + Piecewise((Piecewise((786.2850520629904, x2 - 371.2798981233918 > 786.2850520629904), (x2 - 371.2798981233918, True)), ITE(x2 - 371.2798981233918 > 786.2850520629904, x0 < 786.2850520629904, x0 < x2 - 371.2798981233918)), (x0, True)) - 1522.3480871818876)"
21,19952.741872506496,"min(688.7026672678173, max((x2 - (x1 * -0.2268109195848288)) + -612.278830468131, -114.91350320990898)) + cube(log(((x1 - -320.79972114997344) * 3.40512126655055) * x0))",0.03703402880025981,"Piecewise((688.7026672678173, ITE(0.2268109195848288*x1 + x2 - 612.278830468131 < -114.91350320990898, False, 0.2268109195848288*x1 + x2 - 612.278830468131 > 688.7026672678173)), (Piecewise((-114.91350320990898, 0.2268109195848288*x1 + x2 - 612.278830468131 < -114.91350320990898), (0.2268109195848288*x1 + x2 - 612.278830468131, True)), True)) + log(x0*(3.40512126655055*x1 + 1092.3619527912608))**3","PySRFunction(X=>Piecewise((688.7026672678173, ITE(0.2268109195848288*x1 + x2 - 612.278830468131 < -114.91350320990898, False, 0.2268109195848288*x1 + x2 - 612.278830468131 > 688.7026672678173)), (Piecewise((-114.91350320990898, 0.2268109195848288*x1 + x2 - 612.278830468131 < -114.91350320990898), (0.2268109195848288*x1 + x2 - 612.278830468131, True)), True)) + log(x0*(3.40512126655055*x1 + 1092.3619527912608))**3)"
22,19612.225742475952,"(cube(log(x0 * (x1 - -268.5972218487461))) + min(max(square(x0), x2 + (-508.17911451250603 - (x1 * -0.21850980664191327))), 715.9722215764128)) * 1.22126798465216",0.017213436961808385,"1.22126798465216*Piecewise((Piecewise((0.21850980664191327*x1 + x2 - 508.17911451250603, x0**2 < 0.21850980664191327*x1 + x2 - 508.17911451250603), (x0**2, True)), ITE(x0**2 < 0.21850980664191327*x1 + x2 - 508.17911451250603, 0.21850980664191327*x1 + x2 - 508.17911451250603 < 715.9722215764128, x0**2 < 715.9722215764128)), (715.9722215764128, True)) + 1.22126798465216*log(x0*(x1 + 268.5972218487461))**3","PySRFunction(X=>1.22126798465216*Piecewise((Piecewise((0.21850980664191327*x1 + x2 - 508.17911451250603, x0**2 < 0.21850980664191327*x1 + x2 - 508.17911451250603), (x0**2, True)), ITE(x0**2 < 0.21850980664191327*x1 + x2 - 508.17911451250603, 0.21850980664191327*x1 + x2 - 508.17911451250603 < 715.9722215764128, x0**2 < 715.9722215764128)), (715.9722215764128, True)) + 1.22126798465216*log(x0*(x1 + 268.5972218487461))**3)"
24,19462.830482531223,"(cube(log(x0 * (x1 - -300.3572421922681))) + min(max(sqrt(x0 * x1), x2 + (-529.1946036734682 - (x1 * -0.21494499990629395))), 690.8727426394016)) * 1.236383158572492",0.003823308327989193,"1.236383158572492*Piecewise((Piecewise((0.21494499990629395*x1 + x2 - 529.1946036734682, sqrt(x0*x1) < 0.21494499990629395*x1 + x2 - 529.1946036734682), (sqrt(x0*x1), True)), ITE(sqrt(x0*x1) < 0.21494499990629395*x1 + x2 - 529.1946036734682, 0.21494499990629395*x1 + x2 - 529.1946036734682 < 690.8727426394016, sqrt(x0*x1) < 690.8727426394016)), (690.8727426394016, True)) + 1.236383158572492*log(x0*(x1 + 300.3572421922681))**3","PySRFunction(X=>1.236383158572492*Piecewise((Piecewise((0.21494499990629395*x1 + x2 - 529.1946036734682, sqrt(x0*x1) < 0.21494499990629395*x1 + x2 - 529.1946036734682), (sqrt(x0*x1), True)), ITE(sqrt(x0*x1) < 0.21494499990629395*x1 + x2 - 529.1946036734682, 0.21494499990629395*x1 + x2 - 529.1946036734682 < 690.8727426394016, sqrt(x0*x1) < 690.8727426394016)), (690.8727426394016, True)) + 1.236383158572492*log(x0*(x1 + 300.3572421922681))**3)"
25,19118.696797083183,"cube(log(sqrt(x0) * (x1 - -700.7980171857014)) - -3.9200109555010685) + (min((sqrt(x1) * x0) + max(x2 + -393.6947777025122, -10.91550431354623), 936.8942041952721) + -1009.1666048737171)",0.017839771340881477,"(log(sqrt(x0)*(x1 + 700.7980171857014)) + 3.9200109555010685)**3 + Piecewise((x0*sqrt(x1) + Piecewise((-10.91550431354623, x2 - 393.6947777025122 < -10.91550431354623), (x2 - 393.6947777025122, True)), ITE(x2 - 393.6947777025122 < -10.91550431354623, x0*sqrt(x1) - 10.91550431354623 < 936.8942041952721, x0*sqrt(x1) + x2 - 393.6947777025122 < 936.8942041952721)), (936.8942041952721, True)) - 1009.1666048737171","PySRFunction(X=>(log(sqrt(x0)*(x1 + 700.7980171857014)) + 3.9200109555010685)**3 + Piecewise((x0*sqrt(x1) + Piecewise((-10.91550431354623, x2 - 393.6947777025122 < -10.91550431354623), (x2 - 393.6947777025122, True)), ITE(x2 - 393.6947777025122 < -10.91550431354623, x0*sqrt(x1) - 10.91550431354623 < 936.8942041952721, x0*sqrt(x1) + x2 - 393.6947777025122 < 936.8942041952721)), (936.8942041952721, True)) - 1009.1666048737171)"
27,18632.995230507942,"(min(((sqrt(x0) * x1) * 0.08607981587685022) + max(-51.85445747834684, x2 + -436.8999210328822), 865.7239769840664) + cube(log(sqrt(x0) * (x1 - -920.0350991748413)) - -4.394182488487187)) + -1225.8635346950875",0.012866399938433288,"(log(sqrt(x0)*(x1 + 920.0350991748413)) + 4.394182488487187)**3 + Piecewise((0.08607981587685022*sqrt(x0)*x1 + Piecewise((x2 - 436.8999210328822, x2 - 436.8999210328822 > -51.85445747834684), (-51.85445747834684, True)), ITE(x2 - 436.8999210328822 > -51.85445747834684, 0.08607981587685022*sqrt(x0)*x1 + x2 - 436.8999210328822 < 865.7239769840664, 0.08607981587685022*sqrt(x0)*x1 - 51.85445747834684 < 865.7239769840664)), (865.7239769840664, True)) - 1225.8635346950875","PySRFunction(X=>(log(sqrt(x0)*(x1 + 920.0350991748413)) + 4.394182488487187)**3 + Piecewise((0.08607981587685022*sqrt(x0)*x1 + Piecewise((x2 - 436.8999210328822, x2 - 436.8999210328822 > -51.85445747834684), (-51.85445747834684, True)), ITE(x2 - 436.8999210328822 > -51.85445747834684, 0.08607981587685022*sqrt(x0)*x1 + x2 - 436.8999210328822 < 865.7239769840664, 0.08607981587685022*sqrt(x0)*x1 - 51.85445747834684 < 865.7239769840664)), (865.7239769840664, True)) - 1225.8635346950875)"
29,18396.326529649905,"cube(log((x1 - -887.1213500091795) * sqrt(x0)) - -4.345325526918578) + (min(max(-64.45537711870787, x2 + -459.89077974239615) + (sqrt(x0) * max(29.50566765280241, x1 * 0.09652381531292704)), 870.5844236376304) + -1196.3300606817822)",0.006391473359801685,"(log(sqrt(x0)*(x1 + 887.1213500091795)) + 4.345325526918578)**3 + Piecewise((sqrt(x0)*Piecewise((0.09652381531292704*x1, 0.09652381531292704*x1 > 29.50566765280241), (29.50566765280241, True)) + Piecewise((x2 - 459.89077974239615, x2 - 459.89077974239615 > -64.45537711870787), (-64.45537711870787, True)), ITE((0.09652381531292704*x1 > 29.50566765280241) & (x2 - 459.89077974239615 > -64.45537711870787), 0.09652381531292704*sqrt(x0)*x1 + x2 - 459.89077974239615 < 870.5844236376304, ITE(0.09652381531292704*x1 > 29.50566765280241, 0.09652381531292704*sqrt(x0)*x1 - 64.45537711870787 < 870.5844236376304, ITE(x2 - 459.89077974239615 > -64.45537711870787, 29.50566765280241*sqrt(x0) + x2 - 459.89077974239615 < 870.5844236376304, 29.50566765280241*sqrt(x0) - 64.45537711870787 < 870.5844236376304)))), (870.5844236376304, True)) - 1196.3300606817822","PySRFunction(X=>(log(sqrt(x0)*(x1 + 887.1213500091795)) + 4.345325526918578)**3 + Piecewise((sqrt(x0)*Piecewise((0.09652381531292704*x1, 0.09652381531292704*x1 > 29.50566765280241), (29.50566765280241, True)) + Piecewise((x2 - 459.89077974239615, x2 - 459.89077974239615 > -64.45537711870787), (-64.45537711870787, True)), ITE((0.09652381531292704*x1 > 29.50566765280241) & (x2 - 459.89077974239615 > -64.45537711870787), 0.09652381531292704*sqrt(x0)*x1 + x2 - 459.89077974239615 < 870.5844236376304, ITE(0.09652381531292704*x1 > 29.50566765280241, 0.09652381531292704*sqrt(x0)*x1 - 64.45537711870787 < 870.5844236376304, ITE(x2 - 459.89077974239615 > -64.45537711870787, 29.50566765280241*sqrt(x0) + x2 - 459.89077974239615 < 870.5844236376304, 29.50566765280241*sqrt(x0) - 64.45537711870787 < 870.5844236376304)))), (870.5844236376304, True)) - 1196.3300606817822)"
30,18378.31124857256,"min(max(-64.45537711870787, x2 + -459.89077974239615) + (sqrt(x0) * max(sqrt(x2), x1 * 0.09652381531292704)), 870.5844236376304) + (cube(log((x1 - -887.1213500091795) * sqrt(x0)) - -4.345325526918578) + -1196.3300606817822)",0.0009797666874177904,"(log(sqrt(x0)*(x1 + 887.1213500091795)) + 4.345325526918578)**3 + Piecewise((sqrt(x0)*Piecewise((0.09652381531292704*x1, 0.09652381531292704*x1 > sqrt(x2)), (sqrt(x2), True)) + Piecewise((x2 - 459.89077974239615, x2 - 459.89077974239615 > -64.45537711870787), (-64.45537711870787, True)), ITE((x2 - 459.89077974239615 > -64.45537711870787) & (0.09652381531292704*x1 > sqrt(x2)), 0.09652381531292704*sqrt(x0)*x1 + x2 - 459.89077974239615 < 870.5844236376304, ITE(0.09652381531292704*x1 > sqrt(x2), 0.09652381531292704*sqrt(x0)*x1 - 64.45537711870787 < 870.5844236376304, ITE(x2 - 459.89077974239615 > -64.45537711870787, sqrt(x0)*sqrt(x2) + x2 - 459.89077974239615 < 870.5844236376304, sqrt(x0)*sqrt(x2) - 64.45537711870787 < 870.5844236376304)))), (870.5844236376304, True)) - 1196.3300606817822","PySRFunction(X=>(log(sqrt(x0)*(x1 + 887.1213500091795)) + 4.345325526918578)**3 + Piecewise((sqrt(x0)*Piecewise((0.09652381531292704*x1, 0.09652381531292704*x1 > sqrt(x2)), (sqrt(x2), True)) + Piecewise((x2 - 459.89077974239615, x2 - 459.89077974239615 > -64.45537711870787), (-64.45537711870787, True)), ITE((x2 - 459.89077974239615 > -64.45537711870787) & (0.09652381531292704*x1 > sqrt(x2)), 0.09652381531292704*sqrt(x0)*x1 + x2 - 459.89077974239615 < 870.5844236376304, ITE(0.09652381531292704*x1 > sqrt(x2), 0.09652381531292704*sqrt(x0)*x1 - 64.45537711870787 < 870.5844236376304, ITE(x2 - 459.89077974239615 > -64.45537711870787, sqrt(x0)*sqrt(x2) + x2 - 459.89077974239615 < 870.5844236376304, sqrt(x0)*sqrt(x2) - 64.45537711870787 < 870.5844236376304)))), (870.5844236376304, True)) - 1196.3300606817822)"
31,18063.71259589445,"cube(log(sqrt(x0) * (x1 + 837.6996464971138)) - -4.18176498377962) + (min(max((x1 * 0.09932465641012994) * sqrt(x0), x0 * x0) + max(-48.09773670638267, x2 + -440.5012827027923), 897.815340553011) + -1130.5316333869303)",0.017266135912031928,"(log(sqrt(x0)*(x1 + 837.6996464971138)) + 4.18176498377962)**3 + Piecewise((Piecewise((x0**2, x0**2 > 0.09932465641012994*sqrt(x0)*x1), (0.09932465641012994*sqrt(x0)*x1, True)) + Piecewise((x2 - 440.5012827027923, x2 - 440.5012827027923 > -48.09773670638267), (-48.09773670638267, True)), ITE((x2 - 440.5012827027923 > -48.09773670638267) & (x0**2 > 0.09932465641012994*sqrt(x0)*x1), x0**2 + x2 - 440.5012827027923 < 897.815340553011, ITE(x2 - 440.5012827027923 > -48.09773670638267, 0.09932465641012994*sqrt(x0)*x1 + x2 - 440.5012827027923 < 897.815340553011, ITE(x0**2 > 0.09932465641012994*sqrt(x0)*x1, x0**2 - 48.09773670638267 < 897.815340553011, 0.09932465641012994*sqrt(x0)*x1 - 48.09773670638267 < 897.815340553011)))), (897.815340553011, True)) - 1130.5316333869303","PySRFunction(X=>(log(sqrt(x0)*(x1 + 837.6996464971138)) + 4.18176498377962)**3 + Piecewise((Piecewise((x0**2, x0**2 > 0.09932465641012994*sqrt(x0)*x1), (0.09932465641012994*sqrt(x0)*x1, True)) + Piecewise((x2 - 440.5012827027923, x2 - 440.5012827027923 > -48.09773670638267), (-48.09773670638267, True)), ITE((x2 - 440.5012827027923 > -48.09773670638267) & (x0**2 > 0.09932465641012994*sqrt(x0)*x1), x0**2 + x2 - 440.5012827027923 < 897.815340553011, ITE(x2 - 440.5012827027923 > -48.09773670638267, 0.09932465641012994*sqrt(x0)*x1 + x2 - 440.5012827027923 < 897.815340553011, ITE(x0**2 > 0.09932465641012994*sqrt(x0)*x1, x0**2 - 48.09773670638267 < 897.815340553011, 0.09932465641012994*sqrt(x0)*x1 - 48.09773670638267 < 897.815340553011)))), (897.815340553011, True)) - 1130.5316333869303)"
33,18063.53309215343,"cube(log(sqrt(x0) * (x1 + 837.6996464971138)) - -4.18176498377962) + (min(max((x1 * 0.09932465641012994) * sqrt(min(x2, x0)), x0 * x0) + max(-48.09773670638267, x2 + -440.5012827027923), 897.815340553011) + -1130.5316333869303)",4.968652815972292e-06,"(log(sqrt(x0)*(x1 + 837.6996464971138)) + 4.18176498377962)**3 + Piecewise((Piecewise((x0**2, ITE(x0 > x2, x0**2 > 0.09932465641012994*x1*sqrt(x2), x0**2 > 0.09932465641012994*sqrt(x0)*x1)), (0.09932465641012994*x1*Piecewise((sqrt(x2), x0 > x2), (sqrt(x0), True)), True)) + Piecewise((x2 - 440.5012827027923, x2 - 440.5012827027923 > -48.09773670638267), (-48.09773670638267, True)), ITE((x2 - 440.5012827027923 > -48.09773670638267) & ((x0 <= x2) | (x0**2 > 0.09932465641012994*x1*sqrt(x2))) & ((x0 > x2) | (x0**2 > 0.09932465641012994*sqrt(x0)*x1)), x0**2 + x2 - 440.5012827027923 < 897.815340553011, ITE((x0 > x2) & (x2 - 440.5012827027923 > -48.09773670638267), 0.09932465641012994*x1*sqrt(x2) + x2 - 440.5012827027923 < 897.815340553011, ITE(x2 - 440.5012827027923 > -48.09773670638267, 0.09932465641012994*sqrt(x0)*x1 + x2 - 440.5012827027923 < 897.815340553011, ITE(((x0 <= x2) | (x0**2 > 0.09932465641012994*x1*sqrt(x2))) & ((x0 > x2) | (x0**2 > 0.09932465641012994*sqrt(x0)*x1)), x0**2 - 48.09773670638267 < 897.815340553011, ITE(x0 > x2, 0.09932465641012994*x1*sqrt(x2) - 48.09773670638267 < 897.815340553011, 0.09932465641012994*sqrt(x0)*x1 - 48.09773670638267 < 897.815340553011)))))), (897.815340553011, True)) - 1130.5316333869303","PySRFunction(X=>(log(sqrt(x0)*(x1 + 837.6996464971138)) + 4.18176498377962)**3 + Piecewise((Piecewise((x0**2, ITE(x0 > x2, x0**2 > 0.09932465641012994*x1*sqrt(x2), x0**2 > 0.09932465641012994*sqrt(x0)*x1)), (0.09932465641012994*x1*Piecewise((sqrt(x2), x0 > x2), (sqrt(x0), True)), True)) + Piecewise((x2 - 440.5012827027923, x2 - 440.5012827027923 > -48.09773670638267), (-48.09773670638267, True)), ITE((x2 - 440.5012827027923 > -48.09773670638267) & ((x0 <= x2) | (x0**2 > 0.09932465641012994*x1*sqrt(x2))) & ((x0 > x2) | (x0**2 > 0.09932465641012994*sqrt(x0)*x1)), x0**2 + x2 - 440.5012827027923 < 897.815340553011, ITE((x0 > x2) & (x2 - 440.5012827027923 > -48.09773670638267), 0.09932465641012994*x1*sqrt(x2) + x2 - 440.5012827027923 < 897.815340553011, ITE(x2 - 440.5012827027923 > -48.09773670638267, 0.09932465641012994*sqrt(x0)*x1 + x2 - 440.5012827027923 < 897.815340553011, ITE(((x0 <= x2) | (x0**2 > 0.09932465641012994*x1*sqrt(x2))) & ((x0 > x2) | (x0**2 > 0.09932465641012994*sqrt(x0)*x1)), x0**2 - 48.09773670638267 < 897.815340553011, ITE(x0 > x2, 0.09932465641012994*x1*sqrt(x2) - 48.09773670638267 < 897.815340553011, 0.09932465641012994*sqrt(x0)*x1 - 48.09773670638267 < 897.815340553011)))))), (897.815340553011, True)) - 1130.5316333869303)"
