Complexity,Loss,Equation
50,18134.059645198,"min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752, (sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + max(x2 + -360.5773222934104, 10.574675887122135)) + (x0 + 32.58647168025523)) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))"
52,18130.96422790075,"(min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1061.878136568076, (sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + max(x2 + -360.5773222934104, 10.574675887122135)) + (x0 + 32.58647168025523)) + 2.6249226582993206) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))"
55,18130.917347962804,"((min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1061.878136568076, sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + ((max(x2 + -360.5773222934104, 10.574675887122135) + sqrt(1061.878136568076)) + x0)) + 2.6249226582993206) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))) + 0.7696607068198458"
56,18027.01368644032,"(cube(sqrt(x0 - 0.9999946558264651) + (1.017180765787621 * max(log(x1), min(x0, 5.279374857527965)))) + min(sqrt(square(sqrt(max(0.0548604288218889, ((((x1 - x2) + x1) * (x0 + 1.0456915315878097)) + x1) - x2)))), x1)) + min((59.47016177731274 + sqrt(x2)) + max(x2 + -360.5773222934104, 10.574675887122135), max(x0 * -18.836529989359676, -0.35047211149000335 * x1) + 1064.5030592263752)"
57,18020.76453604733,"cube(sqrt(x0 - 0.9999946558264651) + (max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621)) + (sqrt(sqrt(square(max(0.22391448284374457, ((((x1 - x2) + x1) * (x0 + 1.0456915315878097)) + x1) - x2)))) + min((sqrt(x2 + sqrt(x2)) + 59.47016177731274) + max(10.574675887122135, x2 + -360.5773222934104), max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752))"
58,17918.67936820562,"cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621)) + (min(sqrt(sqrt(square(max(0.22391448284374457, (((x1 - x2) + x1) * (x0 + 1.0456915315878097)) + (x1 - x2))))), x1) + min((sqrt(x2 + x2) + 59.47016177731274) + max(10.574675887122135, x2 + -360.5773222934104), max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752))"
59,17852.17820175804,"cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621)) + ((min((sqrt(x2) + 59.47016177731274) + (sqrt(x1) + max(0.6915163894037185, x2 + -360.5773222934104)), max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752) + (sqrt(max(0.8165448430009887, (((x1 - x2) + x1) * (x0 + 1.0456915315878097)) + (x0 - x2))) - 1.9569368000890917)) - 1.8016890146963904)"
64,17759.849653820103,"min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.3236630700962, (max(x2 + -360.5773222934104, 10.574675887122135) + sqrt(sqrt(square((max(min(x1 * x0, ((x1 + x1) * ((log(x1) - x0) + 2.630605452565876)) + x1), x1) + (x1 - x2)) * (2.630605452565876 + x0))))) + (x0 / 0.45254685283521484)) + cube((sqrt(x0 - 0.9999946558264651) + max(log(x1), min(x0, 5.279374857527965))) * 1.017180765787621)"
66,17731.58458992136,"min(max(-0.35047211149000335 * x1, x0 * -18.836529989359676) + 1061.878136568076, min(sqrt(min(x1, 1.6425051327502675) * sqrt(square((max(min(x0 * x1, x1 + (((log(x1) - x0) + 2.630605452565876) * (x1 + x1))), x1) + (x1 - x2)) * max(x0, 2.630605452565876)))), 2123.756273136152) + max(x2 + -360.5773222934104, 17.624585842437806)) + (cube((max(log(x1), 5.279374857527965) + sqrt(x0 - 0.9999946558264651)) * 1.017180765787621) - -1.2341446321564218)"
68,17633.882635556358,"min(max(-0.35047211149000335 * x1, x0 * -18.836529989359676) + 1061.878136568076, max(x2 + -360.5773222934104, 17.624585842437806) + min(sqrt(min(x1, 1.6425051327502675) * sqrt(square((max(x1 + min(x0 * x1, ((log(x1) - x0) + 2.630605452565876) * (x1 + x1)), x1) + (x1 - x2)) * max(x0, 2.630605452565876)))), 2123.756273136152)) + (cube((max(log(x1), min(x0, 5.279374857527965)) + sqrt(x0 - 0.9999946558264651)) * 1.017180765787621) - -1.2341446321564218)"
70,17599.370785609946,"min(max(-0.35047211149000335 * x1, x0 * -18.836529989359676) + 1061.878136568076, max(x2 + -360.5773222934104, 17.624585842437806) + (min(sqrt(min(x1, 1.6425051327502675) * sqrt(square((max(x1 + min(x0 * x1, ((log(x1) - x0) + 2.630605452565876) * (x1 + x1)), x1) + (x1 - x2)) * max(x0, 2.630605452565876)))), 2123.756273136152) + x0)) + (cube((max(log(x1), min(x0, 5.279374857527965)) + sqrt(x0 - 0.9999946558264651)) * 1.017180765787621) - -1.2341446321564218)"
71,17577.485893364374,"(min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, max(x2 + -360.5773222934104, 17.624585842437806) + (sqrt(min(x1, 1.6425051327502675) * sqrt(square((max(x1 + min(x1 * x0, ((log(max(x1, 0.5277591387845686)) - x0) + 2.630605452565876) * (x1 + x1)), x1) + (x1 - x2)) * max(x0, 2.630605452565876)))) + x0)) + cube((max(log(x1), min(square(x0), 5.279374857527965)) + sqrt(x0 - 0.9999946558264651)) * 1.017180765787621)) - x0"
74,17577.03719180149,"(min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, max(x2 + -360.5773222934104, 17.624585842437806) + (min(sqrt(min(log(x1), 1.6425051327502675) * sqrt(square((max(x1 + min(x1 * x0, ((log(max(x1, 0.5277591387845686)) - x0) + 2.630605452565876) * (x1 + x1)), x1) + (x1 - x2)) * max(x0, 2.630605452565876)))), 2123.756273136152) + x0)) + cube((max(log(x1), min(square(x0), 5.279374857527965)) + sqrt(x0 - 0.9999946558264651)) * 1.017180765787621)) - x0"
75,17464.9405598757,"min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, sqrt(1061.878136568076 / x0) + ((sqrt(sqrt(square((min(max(x1, x1 + (((max(0.4404323014101663, log(x1)) - x0) + 2.630605452565876) * (x1 + x1))), x1 * x0) + (x1 - x2)) * max(x0, 2.630605452565876))) * 1.6425051327502675) + min(x0, 2123.756273136152)) + max(x2 + -360.5773222934104, 10.574675887122135))) + (cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621)) - -1.2431695666574931)"
77,17458.135419999213,"min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, sqrt(1061.878136568076 / x0) + (min((x0 + sqrt(sqrt(square((min(max(x1, x1 + (((max(0.4404323014101663, log(x1)) - x0) + 2.630605452565876) * (x1 + x1))), x1 * x0) + (x1 - x2)) * max(x0, 2.630605452565876))) * 1.6425051327502675)) + x0, 2123.756273136152) + max(x2 + -360.5773222934104, 10.574675887122135))) + (cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621)) - -1.2431695666574931)"
81,17458.13541999921,"(min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, (sqrt(1061.878136568076 / x0) + min((x0 + sqrt(sqrt(square((max(min(x1 * x0, x1 + (((log(x1) - x0) + 2.630605452565876) * (x1 + x1))), x1) + (x1 - x2)) * max(x0, 2.630605452565876))) * min(square(x2), 1.6425051327502675))) + x0, 2123.756273136152)) + max(x2 + -360.5773222934104, 10.574675887122135)) + (cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621)) - log(0.2972357537495132))) - -0.029939895266814266"
85,17442.593780957606,"(min(max(x1 * -0.35047211149000335, x0 * -18.836529989359676) + 1061.878136568076, sqrt(1061.878136568076 / x0) + (min(log(x1) + (sqrt(sqrt(square((max(min(x1 * x0, x1 + (((log(max(cube(0.7608395048168861), x1)) - x0) + 2.630605452565876) * (x1 + x1))), x1) + (x1 - x2)) * max(x0, 2.630605452565876))) * min(square(x0 * x2), 1.6425051327502675)) + x0), 2123.756273136152) + max(x2 + -360.5773222934104, 10.574675887122135))) + cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621))) - log(0.2972357537495132)"
